filename, language, Batch, PowerShell, YAML, Python, Markdown, JSON, comment, blank, total
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\.github\ISSUE_TEMPLATE\1-installation-issue.md, Markdown, 0, 0, 0, 0, 17, 0, 0, 6, 23
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\.github\ISSUE_TEMPLATE\2-exception-during-usage.md, Markdown, 0, 0, 0, 0, 25, 0, 0, 9, 34
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\.github\ISSUE_TEMPLATE\3-bug-report.md, Markdown, 0, 0, 0, 0, 25, 0, 0, 8, 33
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\.github\ISSUE_TEMPLATE\4-feature-request.md, Markdown, 0, 0, 0, 0, 15, 0, 0, 6, 21
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\.github\ISSUE_TEMPLATE\config.yml, YAML, 0, 0, 11, 0, 0, 0, 0, 1, 12
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\Qlik-Py-Init.bat, Batch, 32, 0, 0, 0, 0, 0, 0, 1, 33
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\Qlik-Py-Init.ps1, PowerShell, 0, 23, 0, 0, 0, 0, 0, 0, 23
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\Qlik-Py-Start.bat, Batch, 6, 0, 0, 0, 0, 0, 0, 0, 6
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\Qlik-Py-Start.ps1, PowerShell, 0, 3, 0, 0, 0, 0, 0, 0, 3
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\README.md, Markdown, 0, 0, 0, 0, 111, 0, 0, 56, 167
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\_config.yml, YAML, 0, 0, 2, 0, 0, 0, 0, 1, 3
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\__main__.py, Python, 0, 0, 0, 426, 0, 0, 325, 143, 894
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\_clustering.py, Python, 0, 0, 0, 238, 0, 0, 143, 92, 473
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\_common.py, Python, 0, 0, 0, 104, 0, 0, 82, 53, 239
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\_machine_learning.py, Python, 0, 0, 0, 569, 0, 0, 334, 239, 1142
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\_prophet.py, Python, 0, 0, 0, 488, 0, 0, 280, 201, 969
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\_sklearn.py, Python, 0, 0, 0, 1289, 0, 0, 772, 489, 2550
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\_spacy.py, Python, 0, 0, 0, 325, 0, 0, 209, 135, 669
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\_utils.py, Python, 0, 0, 0, 258, 0, 0, 135, 108, 501
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\core\functions.json, JSON, 0, 0, 0, 0, 0, 475, 0, 1, 476
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docker\feature_importance.py, Python, 0, 0, 0, 174, 0, 0, 211, 57, 442
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\Association-Rules.md, Markdown, 0, 0, 0, 0, 67, 0, 0, 32, 99
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\Clustering.md, Markdown, 0, 0, 0, 0, 244, 0, 0, 100, 344
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\Correlation.md, Markdown, 0, 0, 0, 0, 74, 0, 0, 46, 120
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\Keras.md, Markdown, 0, 0, 0, 0, 488, 0, 0, 185, 673
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\NER.md, Markdown, 0, 0, 0, 0, 134, 0, 0, 49, 183
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\Prophet.md, Markdown, 0, 0, 0, 0, 443, 0, 0, 148, 591
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\README.md, Markdown, 0, 0, 0, 0, 111, 0, 0, 56, 167
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\hands-on\README.md, Markdown, 0, 0, 0, 0, 213, 0, 0, 112, 325
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\docs\scikit-learn.md, Markdown, 0, 0, 0, 0, 413, 0, 0, 150, 563
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\generated\ServerSideExtension_pb2.py, Python, 0, 0, 0, 746, 0, 0, 73, 68, 887
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\generated\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\offline-install\Qlik-Py-Init Offline.bat, Batch, 32, 0, 0, 0, 0, 0, 0, 1, 33
c:\Users\naf\Documents\Techy\Git\qlik-py-tools\offline-install\README.md, Markdown, 0, 0, 0, 0, 33, 0, 0, 7, 40
Total, -, 70, 26, 13, 4617, 2413, 475, 2564, 2562, 12740
